Song_Name,Matched_Name,Ratio_Value,Song_List_Index
put a little love in your heart,listen to your heart,63,641
do your thing,do your thing,100,12555
id wait a million years,wasting my young years,58,5764
touch me,touch me,100,319
more today than yesterday,more than words,60,349
ive gotta be me,its gonna be me,73,171
lay lady lay,lay lady lay,100,2132
atlantis,atlas,77,2575
traces,tres,80,17753
its getting better,it gets better,81,9436
this magic moment,in this moment,71,13306
runaway child running wild,real wild child wild one,56,739
hawaii fiveo,high five,67,10611
galveston,love song,67,157
im gonna make you mine,cant seem to make you mine,71,2710
gitarzan,tarzan boy,67,17883
can i change my mind,carolina in my mind,72,7816
time is tight,make it right,69,3045
this girls in love with you,shes in love with the boy,65,5456
color him father,your father,67,12362
black pearl,black belt,76,2634
indian giver,indian summer,72,6025
mother popcorn,another one,64,3713
twentyfive miles,twenty five miles,97,3834
things id like to say,nothing to say,69,14215
when i die,when i dumpy,73,3090
thats the way love is,hate the way you love me,76,18755
everybodys talkin,everybody talks,88,9801
the worst that could happen,the house that built me,64,4931
the chokin kind,the comeback kid,71,16405
smile a little smile for me,a little more,65,4715
polk salad annie,portland maine,60,18742
ruby dont take your love to town,dont take your guns to town,78,5124
games people play,the games we play,71,7334
you showed me,you send me,83,2002
tracy,try,75,16037
oh what a night,oh what a nite,90,5863
something,say something,82,12432
this girl is a woman now,god is a woman,63,4325
come together,come together,100,3402
ramblin gamblin man,ramblin man,73,469
im gonna make you love me,i cant make you love me,83,1401
i heard it through the grapevine,i heard it through the grapevine,100,2068
gimme gimme good lovin,little bit of lovin,59,1174
hang em high,head held high,69,1154
your good thing is about to end,do you think about me,62,15146
baby im for real,baby im yours,69,14692
oh happy day,happy day,86,6736
love me tonight,love me right,86,3195
mr sun mr moon,turn me on,58,6971
laughing,lung,67,3266
my whole world ended the moment you left me,give it to the moment  toy selectah remix,52,6364
soul deep,go deep,75,4261
hooked on a feeling,hooked on a feeling,100,13757
sweet cream ladies,sweet berries,65,4410
bridge over troubled water,bridge over troubled water,100,491
they long to be close to you,i just want to make love to you,64,3822
american woman,american made,81,5343
raindrops keep fallin on my head,can’t help falling in love,55,1354
war,war,100,12841
aint no mountain high enough,aint no mountain high enough,100,2040
ill be there,ill be there,100,7847
get ready,get ready,100,6895
let it be,let it be,100,16980
band of gold,heart of gold,72,362
mama told me not to come,come softly to me,59,5846
everything is beautiful,everything is alright,73,15066
make it with you,i melt with you,77,2886
hitchin a ride,china grove,64,495
abc,abc,100,6830
the love you save,the love you save,100,3851
cracklin rosie,rockin robin,69,1981
candida,adia,73,17004
thank you falettinme be mice elf agin,if you love me come clean,52,15272
spill the wine,i walk the line,69,381
ooh child,oh child,94,10192
spirit in the sky,spirit in the sky,100,2154
lay down candles in the rain,calmness in the rain,71,4861
ball of confusion thats what the world is today,its such a pretty world today,53,5140
love on a twoway street,loves comin at ya  remastered,62,9261
which way you goin billy,who are you really,57,18622
all right now,all right now,100,481
i want you back,i want you back,100,1175
julie do ya love me,do you love me,73,6861
greeneyed lady,sexy lady,61,4367
signed sealed delivered im yours,signed sealed delivered im yours,100,6821
ride captain ride,magic carpet ride,65,303
venus,venus,100,2812
instant karma,distant past,64,2601
patches,places,77,13419
lookin out my back door,lock my door,63,11012
rainy night in georgia,walkin back to georgia,59,378
somethings burning,something big,84,13993
give me just a little more time,give a little bit,62,498
love grows where my rosemary goes,heres where the story ends,58,2961
the long and winding road,everyday is a winding road,67,1194
snowbird,songbird,75,18815
reflections of my life,time of my life,70,11394
hey there lonely girl,hey there delilah,74,25
the rapper,rapper,75,13899
he aint heavy hes my brother,he aint heavy hes my brother,100,2117
tighter tighter,tonight tonight,73,15009
come and get it,come and get it,100,1602
cecilia,cecilia,100,398
love land,love child,74,2122
turn back the hands of time,back to the hotel,59,4361
lola,lola,100,6048
in the summertime,in the summertime,100,8152
indiana wants me,indian summer,69,6025
i know im losing you,am i losing you,74,5061
easy come easy go,money comes money goes,67,15039
express yourself,express yourself  remix,82,9070
still water love,ill never love,73,3308
make me smile,make you smile,81,1208
the house of the rising sun,the house of the rising sun,100,2044
25 or 6 to 4,work to do,55,3846
my baby loves lovin,baby love,64,6824
love or let me be lonely,love someone,61,1151
united we stand,out west,61,11148
weve only just begun,everybody but you,54,1816
arizona,arizona,100,16243
fire and rain,fire and rain,100,470
groovy situation,situations,69,11390
evil ways,evil ways,100,267
no time,no time,100,1257
didnt i blow your mind this time,didnt i blow your mind this time,100,2125
the wonder of you,the power of love,71,2251
up around the bend,around the world,71,3008
if you let me make love to you then why cant i touch you,i just want to make love to you,51,3822
i just cant help believing,im still believing,68,18214
its a shame,its a whale,82,6315
for the love of him,for the lonely ones,68,15001
mississippi queen,louisiana woman mississippi man,54,5243
i want to take you higher,cant seem to make you mine,67,2710
the letter,the letter,100,2113
ma belle amie,bella marie,67,4145
the bells,rock the bells,78,9089
yellow river,i follow rivers,74,9429
somebodys been sleeping,somebodys knockin,65,5408
vehicle,vices,67,7253
gimme dat ding,gimme twice,64,9672
lay a little lovin on me,stay a little longer,73,4968
up the ladder to the roof,up on the roof,67,5839
travelin band,traveling alone,79,7796
come saturday morning,monday morning,69,4135
psychedelic shack,psychotic reaction,57,299
without love there is nothing,its not love but its not bad,63,5319
are you ready,are you ready,100,1622
woodstock,words,57,5933
ill never fall in love again,please never fall in love again,88,15285
look what theyve done to my song ma,whatever comes to mind,56,3634
walk a mile in my shoes,walking in my shoes,81,8430
the thrill is gone,the race is on,69,5142
its only make believe,make believe,73,16958
call me,call me,100,733
joy to the world,woman of the world,76,1210
maggie mayreason to believe,make me a believer,62,16040
its too latei feel the earth move,i feel the earth move,78,7786
one bad apple,love and happiness,65,1546
how can you mend a broken heart,down to my last broken heart,75,5392
indian reservation the lament of the cherokee reservation indian,season of the witch  2005 remastered version mono,48,2736
go away little girl,give a little bit,67,498
take me home country roads,take me home country roads,100,5293
just my imagination running away with me,getting away with it,53,2979
knock three times,sign of the times,71,15903
me and bobby mcgee,me and bobby mcgee,100,375
tired of being alone,traveling alone,69,7796
want ads,wanted,71,5505
smiling faces sometimes,takes some time,63,15024
treat her like a lady,dude looks like a lady,65,555
youve got a friend,youve got a friend,100,358
mr big stuff,break stuff,61,3394
brown sugar,brown sugar,100,457
do you know what i mean,i know what i am,72,6298
the night they drove old dixie down,the night they drove old dixie down  remastered,85,3973
whats going on,whats going on,100,2222
uncle albertadmiral halsey,uncertain smile,54,16673
aint no sunshine,aint no sunshine,100,2148
signs,signal,73,3293
shes a lady,shes a lover,70,2747
superstar,superstar,100,5566
ive found someone of my own,i get around mono  mono,64,323
amos moses,amos moses,100,5272
temptation eyes,expectations,67,6745
superstar,superstar,100,5566
my sweet lord,my sweet lord,100,368
sweet and innocent,sweet jane,64,6050
put your hand in the hand,standing in the shadows,62,5180
chickaboom dont ya jes love it,me encanta  i love it,55,10426
for all we know,all we know,85,14223
help me make it through the night,help me make it through the night,100,5331
rainy days and mondays,round and round,59,549
if you could read my mind,if you could read my mind,100,376
gypsys tramps  thieves,strangers poets  thieves,65,3288
never can say goodbye,dont say goodbye,70,17340
rose garden,dos gardenias,75,1331
dont pull your love,all your love,75,3131
it dont come easy,i don’t blame you,65,6004
mr bojangles,mr jones,70,930
i love you for all seasons,i love you so,67,6811
whatcha see is whatcha get,where i wanna be,57,7757
thats the way ive always heard it should be,this head i hold,54,12240
if you really love me,if youre over me,81,7843
spanish harlem,spanish rice,77,10225
i dont know how to love him,you dont know how it feels,68,1056
yoyo,yoi yoi,73,7019
bridge over troubled water,bridge over troubled water,100,491
doesnt somebody want to be wanted,i dont want to be a memory,61,5419
draggin the line,hold the line,69,2138
proud mary,proud mary,100,283
beginningscolour my world,welcome to my world,59,5204
stay awhile,stay wild,80,16260
sweet city woman,sweet child o mine,71,541
me and you and a dog named boo,me and your mama,57,16850
another dayoh woman oh why,another man,59,9227
if,if,100,1753
mercy mercy me the ecology,mercy mercy me the ecology,100,3761
one toke over the line,in the aeroplane over the sea,63,988
shes not just another woman,just another day,65,10133
bring the boys home,bring the noise,76,9107
i just want to celebrate,i just want to make love to you,69,3822
never ending song of love,genius of love,62,2917
easy loving,easy love,80,8315
liar,laura,67,2618
stickup,sticky,77,11011
chirpy chirpy cheep cheep,heavy is the head,48,16424
where do i begin love story,where do you go to my lovely,62,2112
wild world,wild world,100,383
when youre hot youre hot,when youre hot youre hot,100,5254
funky nassau,funky sensation,67,8159
if not for you,if not for you demo,85,18783
groove me,love me,75,5494
watching scotty grow,dancing on my own,59,2598
woodstock,words,57,5933
amazing grace,amazing,70,11626
i hear you knocking,whos that knocking,65,5865
lonely days,lonely days,100,3552
here comes that rainy day feeling again,here comes the rain again  remastered version,57,16657
wont get fooled again,wont get fooled again  original album version,64,449
trapped by a thing called love,i believe in a thing called love,71,1388
mamas pearl,mama guela,67,11286
timothy,worthy,62,5559
i woke up in love this morning,woke up in love,67,5337
theme from shaft,here for my habits,65,13124
if i were your woman,your woman,67,3002
i ami said,mama said,74,5844
the wedding song there is love,the one i love,64,16747
dont knock my love,cant undo my love,74,7216
love her madly,love her madly,100,2809
here comes the sun,here comes the sun,100,17320
sweet mary,sweet harmony,78,2980
right on the tip of my tongue,right down the line,67,9591
one less bell to answer,one kiss too many,60,5009
riders on the storm,riders on the storm,100,416
somos novios its impossible,impossible,54,13847
the first time ever i saw your face,for the first time,53,176
alone again naturally,alone again,69,557
american pie,american pie,100,447
without you,without you,100,15224
the candy man,candy man,82,9231
i gotcha,i go crazy,67,13778
lean on me,lean on me,100,352
baby dont get hooked on me,please dont give up on me,63,15288
brand new key,brand new,82,16148
daddy dont you walk so fast,anything you want not that,57,14738
lets stay together,lets stay together,100,6838
brandy youre a fine girl,crazy for this girl,60,1028
oh girl,hey girl,80,10139
nice to be with you,nice to meet you,80,18166
my dingaling,el shingaling,72,10230
if loving you is wrong i dont want to be right,if loving you is wrong i dont want to be right,100,5251
heart of gold,heart of gold,100,362
betcha by golly wow,baby hold on,58,476
ill take you there,ill take you there,100,6856
ben,buena,75,6054
the lion sleeps tonight,the lion sleeps tonight wimoweh,85,2078
outaspace,outerspace,84,11174
slippin into darkness,triple darkness,61,6126
long cool woman in a black dress,man in black,55,5291
how do you do,how do you feel,79,3071
song sung blue,tangled up in blue,62,386
a horse with no name,a horse with no name,100,369
popcorn,panopticon,71,6728
everybody plays the fool,everybody loves you,65,13118
precious and few,you and me,62,1589
last night i didnt get to sleep at all,as i sleep feat charlee,52,18161
nights in white satin,caught in the rain,67,14053
go all the way,going all the way,90,16063
too late to turn back now,the boys are back in town,60,451
back stabbers,backstreets,67,482
down by the lazy river,down by the river,87,15068
sunshine,no sunshine,84,4379
starting all over again,today all over again,79,5390
day after day,after dark,70,3185
rocket man,rockstar,67,3406
rockin robin,rockin robin,100,1981
beautiful sunday,beautiful day,90,6933
scorpio,sofrito,71,10222
morning has broken,morning breeze,69,1475
city of new orleans,the battle of new orleans,73,5055
garden party,after party,70,4509
i can see clearly now,i can see clearly now  edit,88,6846
burning love,big love,80,1187
clean up woman,la woman,73,502
hold your head up,keep your head up,76,8322
jungle fever,teenage fever,72,2452
everything i own,everything i got,88,12547
in the rain,in the morning,80,1145
look what you done for me,what you dont do,68,14681
the happiest girl in the whole usa,the happiest girl in the whole usa,100,5309
get it on,getting it on,82,3615
mother and child reunion,right here  andy c remix,58,10101
where is the love,where is the love,100,1875
im still in love with you,i think i love you,70,17288
layla,layla,100,2206
day dreaming,daydreaming,96,4016
the way of love,the power of love,81,2251
black and white,black and white town,86,2521
sylvias mother,smother,67,3306
hurting each other,hurtin me  the remix,68,1702
coconut,cocoon,77,15681
puppy love,lucky love,70,3613
