level_0,Unnamed: 0,Song Name,Matched Name,Ratio Value,Song List Index,index,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
181,89,all i really want to do,do you really want it,68,1624,1624,Do You Really Want It,8.6e-05,0.223,0.8909999999999999,0.000422,7,0.107,-4.918,1,0.133,170.6,4,0.5579999999999999
183,90,take me back,take me away,75,7209,7209,Take Me Away,0.268,0.8490000000000001,0.487,0.0,9,0.106,-7.274,1,0.328,95.984,4,0.385
188,91,i want candy,i want candy,100,833,833,I Want Candy,0.006229999999999999,0.6859999999999999,0.649,0.0625,7,0.0592,-12.935,1,0.0642,109.984,4,0.76
192,92,ooo baby baby,baby boy,67,170,170,Baby Boy,0.0825,0.655,0.488,1.16e-06,1,0.221,-9.17,1,0.22,91.025,4,0.7909999999999999
197,93,laugh at me,laugh it off,70,7835,7835,Laugh It Off,0.0249,0.763,0.524,0.00013700000000000002,0,0.117,-7.725,1,0.0759,93.998,4,0.411
198,94,treat her right,yeah right,72,3136,3136,Yeah Right,0.624,0.672,0.59,0.236,1,0.0991,-9.574,1,0.129,169.03599999999997,4,0.21
199,95,the race is on,the race is on,100,5142,5142,The Race Is On,0.454,0.465,0.674,0.0,9,0.233,-8.318,1,0.0833,171.24599999999995,4,0.923
202,96,im a fool,in a mood,67,3573,3573,In a Mood,0.523,0.7609999999999999,0.293,0.721,0,0.124,-19.087,1,0.0452,143.976,4,0.601
203,97,the boy from new york city,the boys are back in town,59,451,451,The Boys Are Back in Town,0.234,0.445,0.706,0.000252,8,0.205,-9.803,1,0.0461,80.82300000000002,4,0.768
208,98,keep searchin well follow the sun,sail into the sun,56,6418,6418,Sail Into The Sun,0.0349,0.5589999999999999,0.8440000000000001,0.0,2,0.535,-4.751,1,0.0376,105.94,4,0.69
210,99,how sweet it is to be loved by you,how sweet it is to be loved by you,100,6878,6878,How Sweet It Is (To Be Loved By You),0.0116,0.6,0.7340000000000001,1.96e-06,1,0.353,-7.811,1,0.163,125.623,4,0.7040000000000001
212,100,ballad of the green berets,ballad of a teenage queen,67,5075,5075,Ballad of a Teenage Queen,0.583,0.6779999999999999,0.407,0.0,3,0.121,-11.037,0,0.055,97.957,4,0.6409999999999999
213,101,cherish,crash,67,2864,2864,Crash,0.0809,0.369,0.54,0.000149,11,0.76,-11.147,1,0.0321,170.00400000000005,4,0.915
217,102,youre my soul and inspiration,you are my sunshine,62,4983,4983,You Are My Sunshine,0.889,0.835,0.198,0.0,9,0.461,-10.243,0,0.045,98.261,4,0.711
220,103,reach out ill be there,reach out ill be there,100,8253,8253,"Reach Out, I'll Be There",0.0257,0.618,0.626,0.0,3,0.173,-8.294,0,0.0281,119.677,4,0.703
222,104,96 tears,96 tears,100,341,341,96 Tears,0.0586,0.68,0.507,6.49e-06,7,0.0754,-5.9289999999999985,1,0.0336,123.47,4,0.8540000000000001
223,105,last train to clarksville,lost it all,56,5771,5771,Lost It All,0.0233,0.565,0.386,0.00113,7,0.109,-11.856,0,0.0299,73.01899999999998,3,0.184
224,106,monday monday,mony mony,82,6394,6394,Mony Mony,0.004,0.701,0.758,0.0,1,0.13,-5.568,1,0.0405,135.188,4,0.344
228,107,you cant hurry love,you cant hurry love,100,2066,2066,You Can't Hurry Love,0.16,0.46,0.708,0.0,10,0.185,-9.835,1,0.0977,194.95,4,0.542
230,108,poor side of town,your side of the bed,65,11713,11713,Your Side Of The Bed,0.0797,0.7759999999999999,0.7390000000000001,0.0,8,0.284,-4.974,1,0.0301,109.907,4,0.922
231,109,california dreamin,california dreamin,100,7774,7774,California Dreamin',0.627,0.5539999999999999,0.69,0.0,1,0.0688,-10.245,0,0.0346,112.749,4,0.5579999999999999
232,110,summer in the city,summer in the city  remastered,75,290,290,Summer in the City - Remastered,0.0592,0.423,0.6809999999999999,0.000177,10,0.0889,-9.756,1,0.0397,110.461,4,0.5589999999999999
233,111,born free,on fire,75,13110,13110,On Fire,0.246,0.581,0.48,8.65e-06,7,0.195,-6.799,1,0.0286,81.025,4,0.276
235,112,these boots are made for walkin,these boots are made for walkin,100,2062,2062,These Boots Are Made For Walkin',0.483,0.74,0.392,1.11e-06,9,0.0965,-11.996,1,0.0824,82.742,4,0.387
236,113,what becomes of the brokenhearted,what becomes of the brokenhearted,100,2074,2074,What Becomes Of The Brokenhearted,0.62,0.715,0.423,0.0,7,0.568,-12.663,0,0.0306,98.623,4,0.596
237,114,strangers in the night,stay the night,72,10924,10924,Stay the Night,0.755,0.746,0.422,0.117,9,0.104,-11.769,0,0.0352,93.002,4,0.604
239,115,we can work it out,the beginning work it out,70,16083,16083,The Beginning (Work It Out),0.138,0.355,0.6990000000000001,0.000264,7,0.127,-6.445,0,0.0601,62.883,4,0.384
240,116,good lovin,good lover,80,3227,3227,Good Lover,0.585,0.464,0.168,0.00044,2,0.124,-17.897000000000006,1,0.0473,81.868,4,0.244
241,117,winchester cathedral,cathedral,62,10814,10814,Cathedral,0.0393,0.9,0.471,0.897,9,0.247,-10.621,0,0.114,119.991,4,0.453
242,118,hanky panky,bak pak,67,11096,11096,Bak Pak,0.937,0.711,0.387,0.8420000000000001,10,0.116,-14.536,0,0.231,79.027,4,0.598
243,119,when a man loves a woman,shes always a woman,65,16997,16997,She's Always a Woman,0.797,0.292,0.324,0.0004730000000000001,3,0.12,-11.996,1,0.0346,176.63099999999997,3,0.384
245,120,paint it black,paint it black  mono,82,297,297,"Paint It, Black - Mono",0.0103,0.505,0.836,0.0771,5,0.295,-7.383999999999999,0,0.101,159.66899999999995,4,0.764
246,121,my love,my lover,93,12365,12365,My Lover,0.0453,0.8640000000000001,0.5870000000000001,5.99e-06,6,0.076,-6.402,0,0.157,106.063,4,0.594
252,122,lightnin strikes,lightning bolt,67,2654,2654,Lightning Bolt,0.0818,0.551,0.8390000000000001,0.0,9,0.151,-4.555,1,0.0787,116.051,4,0.6809999999999999
253,123,wild thing,wild thing,100,334,334,Wild Thing,0.721,0.421,0.664,0.00244,11,0.0851,-10.657,0,0.0665,201.583,4,0.574
256,124,kicks,kicks,100,18050,18050,Kicks,0.141,0.638,0.8370000000000001,0.0,10,0.285,-5.3660000000000005,0,0.0771,95.023,4,0.619
257,125,sunshine superman,sunshine superman,100,7794,7794,Sunshine Superman,0.122,0.629,0.677,9.72e-06,1,0.0962,-7.239,1,0.0299,132.783,4,0.627
258,126,sunny,sunny,100,2087,2087,Sunny,0.34700000000000003,0.481,0.438,0.0,4,0.5670000000000001,-7.186,0,0.0423,127.593,4,0.574
259,127,paperback writer,the writer,62,4483,4483,The Writer,0.8809999999999999,0.865,0.338,0.83,0,0.368,-9.212,1,0.219,83.04799999999999,4,0.773
260,128,see you in september,wake me up when september ends,64,1577,1577,Wake Me Up When September Ends,0.023,0.546,0.8140000000000001,0.0,7,0.0972,-5.146,1,0.0314,104.98,4,0.146
262,129,you keep me hangin on,dont keep me waiting,63,12346,12346,Don't Keep Me Waiting,0.222,0.753,0.406,0.0,9,0.279,-8.676,0,0.0376,104.944,4,0.759
