,Song Name,Matched Name,Ratio Value,Song List Index
369,sky pilot,say it,67,13725
370,indian lake,indian outlaw,75,5499
371,i wonder what shes doing tonight,whats going on,57,2222
372,over you,over you,100,195
373,goin out of my headcant take my eyes off you,cant take my eyes off you,72,2080
374,shoobedoobedoodaday,somebody,52,8365
375,the unicorn,the unknown,73,5538
376,you keep me hangin on,dont keep me waiting,63,12346
377,revolution,resolution,90,3285
378,woman woman,la woman,74,502
379,elenore,me enamore,71,13529
380,white room,white room,100,255
381,youre all i need to get by,ill be there for youyoure all i need to get by,72,912
382,baby now that ive found you,now that we found love,73,911
383,sweet inspiration,sweet disposition,82,6463
384,if you can want,if i cant,67,4580
385,cab driver,ocean drive,76,13751
386,time has come today,time has come today,100,294
387,do you know the way to san jose,do you know what time it is  styles p,62,3502
388,scarborough faircanticle,sugarcane,55,13396
389,say it loud  im black and im proud,say it loud  im black and im proud,100,3722
390,the mighty quinn,the city with quinn xcii,65,7828
391,here comes the judge,here comes the sun,84,17320
392,i say a little prayer,i say a little prayer,100,2071
393,think,think,100,2088
394,sealed with a kiss,sealed with a kiss,100,2133
395,piece of my heart,piece of my heart,100,2111
396,suzie q,sunrise,57,1733
397,bend me shape me,send me the money,73,7992
398,hey western union man,the state i am in,58,2985
399,never give you up,never give up,87,16883
400,sugar sugar,sugar sugar,100,2050
401,aquariuslet the sunshine in,you are my sunshine,61,4983
402,i cant get next to you,cant get enough,65,15500
403,honky tonk women,honky tonk women,100,313
404,everyday people,everyday people,100,823
405,dizzy,daisy,60,6312
406,hot fun in the summertime,in the summertime,81,8152
407,ill never fall in love again,please never fall in love again,88,15285
408,build me up buttercup,build me up buttercup,100,2047
409,crimson and clover,crimson and clover,100,2730
410,one,one,100,713
411,crystal blue persuasion,crystal closet queen,60,3847
412,hair,hair,100,9803
413,too busy thinking about my baby,thinking about you,65,13771
414,love theme from romeo and juliet,love it if we made it,60,14902
415,get together,better together,81,1375
416,grazing in the grass,grazin in the grass,97,3925
417,suspicious minds,suspicious minds with jessi colter,64,5322
418,proud mary,proud mary,100,283
419,what does it take to win your love,dont talk to me about love,63,2934
420,its your thing,its your thing,100,6911
421,sweet caroline,sweet caroline,100,1793
422,jean,mean,75,8151
423,bad moon rising,bad moon rising,100,307
424,get back,jet black,82,13456
425,in the year 2525,in the dark,67,7009
426,spinning wheel,singing the blues,65,5067
427,baby i love you,baby i love your way,86,404
428,going in circles,dancin in circles,79,10124
429,hurt so bad,hurt somebody,75,18270
430,green river,green river,100,322
431,my cherie amour,herida de amor,69,12127
432,easy to be hard,easy lover,64,2270
433,baby its you,baby its you,100,5861
434,in the ghetto,in the end,70,1
435,a boy named sue,a boy named sue  live version,68,5133
436,baby baby dont cry,boys dont cry,71,747
437,only the strong survive,down by the river,60,15068
438,time of the season,bottom of the sea,74,10811
439,wedding bell blues,whispering bells,65,5866
440,little woman,little lion man,81,16256
441,love can make you happy,if it makes you happy,73,2369
442,good morning starshine,good morning sunshine,88,4504
443,these eyes,these days,80,2728
444,youve made me so very happy,over and over again,57,10660
445,put a little love in your heart,listen to your heart,67,641
446,do your thing,do your thing,100,12555
447,id wait a million years,ill wait  ambient version,62,4847
448,touch me,touch me,100,319
449,more today than yesterday,more than words,60,349
450,ive gotta be me,its gonna be me,73,171
451,lay lady lay,lay lady lay,100,2132
452,atlantis,atlas,77,2575
453,traces,tres,80,17753
454,its getting better,it gets better,81,9436
455,this magic moment,in this moment,71,13306
456,runaway child running wild,runaway u  i,58,6993
457,hawaii fiveo,high five,67,10611
458,galveston,love song,67,157
459,im gonna make you mine,cant seem to make you mine,71,2710
460,gitarzan,tarzan boy,67,17883
461,can i change my mind,carolina in my mind,72,7816
462,time is tight,make it right,69,3045
463,this girls in love with you,shes in love with the boy,65,5456
464,color him father,your father,67,12362
465,black pearl,black belt,76,2634
466,indian giver,indian summer,72,6025
467,mother popcorn,another one,64,3713
468,twentyfive miles,twenty five miles,97,3834
469,things id like to say,nothing to say,69,14215
470,when i die,when i dumpy,73,3090
471,thats the way love is,hate the way you love me,76,18755
472,everybodys talkin,everybody talks,88,9801
473,the worst that could happen,the house that built me,64,4931
474,the chokin kind,the comeback kid,71,16405
475,smile a little smile for me,save a little love,67,8192
